CUMUN,CPRO,NPRO,NMUN,AREA_GEO,ID_AREA_GEO,POB_AREA_GEO,COD_LITERAL_SCD,ID_GRUPO,POB_GRUPO,ID_COMPLETO_GRUPO,,
02014,02,Albacete,"Ballestero, El",MUNICIPIO,02014,405,,15AB,5155,"02014Ballestero, El",,
02017,02,Albacete,Bogarra,MUNICIPIO,02017,842,,15AB,5155,02017Bogarra,,
02022,02,Albacete,Casas de Lázaro,MUNICIPIO,02022,363,,15AB,5155,02022Casas de Lázaro,,
02047,02,Albacete,Masegoso,MUNICIPIO,02047,110,,15AB,5155,02047Masegoso,,
02059,02,Albacete,Peñascosa,MUNICIPIO,02059,334,,15AB,5155,02059Peñascosa,,
02062,02,Albacete,Povedilla,MUNICIPIO,02062,430,,15AB,5155,02062Povedilla,,
02068,02,Albacete,Robledo,MUNICIPIO,02068,367,,15AB,5155,02068Robledo,,
02085,02,Albacete,Viveros,MUNICIPIO,02085,337,,15AB,5155,02085Viveros,,
02012,02,Albacete,Balazote,MUNICIPIO,02012,2334,,16AB,5851,02012Balazote,,
02015,02,Albacete,Barrax,MUNICIPIO,02015,1833,,16AB,5851,02015Barrax,,
02038,02,Albacete,"Herrera, La",MUNICIPIO,02038,326,,16AB,5851,"02038Herrera, La",,
02043,02,Albacete,Lezuza,MUNICIPIO,02043,1358,,16AB,5851,02043Lezuza,,
02019,02,Albacete,"Bonillo, El",MUNICIPIO,02019,2779,,17AB,8521,"02019Bonillo, El",,
02053,02,Albacete,Munera,MUNICIPIO,02053,3435,,17AB,8521,02053Munera,,
02057,02,Albacete,Ossa de Montiel,MUNICIPIO,02057,2307,,17AB,8521,02057Ossa de Montiel,,
02009,02,Albacete,Almansa,MUNICIPIO,02009,24419,,18AB,24419,02009Almansa,,
02025,02,Albacete,Caudete,MUNICIPIO,02025,9963,,19AB,9963,02025Caudete,,
02037,02,Albacete,Hellín,MUNICIPIO,02037,30306,,20AB,30306,02037Hellín,,
02074,02,Albacete,Tobarra,MUNICIPIO,02074,7684,,21AB,7684,02074Tobarra,,
